date,ff4_hf,sp500_hf,dbkeven02_d,usstocks1_hf,pc1ff1_hf,pmnegm_ff4sp500,pmposm_ff4sp500,pmnegm_pc1ff1usstocks1,pmposm_pc1ff1usstocks1,gs1,gs10,sven5f5,bkeven05,exp_gdp_12m,exp_cpi_12m,us_cpi,us_ip,logsp500,us_gdpdef,us_rgdp,ebpnew,eureon3m_hf,stoxx50_hf,deurinflswap2y_d,pmnegm_eureon3mstoxx50,pmposm_eureon3mstoxx50,ea_ip_excl_constr,hicp,stoxx50,ea_bbb_oas_all_fred,ea_rgdp,ea_gdpdef,de1y_haver
1990/5/1,0,0.036899999,,-0.002963548,0.002420673,0,0,0.002420673,0,8.3199997,8.7600002,8.7341633,,2.2061965,4.6016026,486.05872,416.98044,585.91846,419.72092,907.65753,0.096000001,,,,,,,409.03366,479.09641,,,,8.6400003
1990/6/1,0,0,,0,0,0,0,0,0,8.1000004,8.4799995,8.5155525,,2.0576086,4.5264492,486.67648,417.31158,588.71777,420.08542,907.17041,0.2115,,,,,,,409.21756,478.72101,,,,8.5500002
1990/7/1,-0.1,0.01864,,-0.070361622,-0.039244581,-0.1,0,0,-0.039244577,7.9400001,8.4700003,8.6343479,,1.9903846,4.4923077,487.13733,417.19781,588.62048,420.25937,907.87115,0.17299999,,,,,,,409.26764,479.36093,,,,8.4499998
1990/8/1,0,0.29183999,,0.29482871,0.018006468,0,0,0,0.018006468,7.7800002,8.75,9.1402216,,1.8398913,4.5213766,487.97672,417.50485,580.13507,420.66367,907.10901,-0.1038,,,,,,,409.96637,466.64453,,,,8.8100004
1990/9/1,0,0,,0,0,0,0,0,0,7.7600002,8.8900003,9.4149837,,1.0093334,4.9386668,488.65826,417.64957,575.49951,420.99152,907.34564,0.092399999,,,,,,,410.70963,457.4881,,,,8.79
1990/10/1,-0.029990001,-0.64155,,-0.84155899,0.019242454,0,-0.029990001,0.019242454,0,7.5500002,8.7200003,9.2306824,,0.66847825,5.1972828,489.33521,416.88983,572.72626,421.24316,906.58673,0.31510001,,,,,,,411.26755,454.74536,,,,8.6400003
1990/11/1,0.01,-0.00941,,-0.057060607,0.02958216,0.01,0,0.02958216,0,7.3099999,8.3900003,8.8791447,,0.33958334,5.0743055,489.55984,415.70892,575.36182,421.35495,906.90698,0.40380001,,,,,,,411.36569,453.08383,,,,8.9099998
1990/12/1,-0.19,0.85308999,,0.90437925,-0.14451249,-0.19,0,-0.14451249,0,7.0500002,8.0799999,8.5713949,,0.20398551,5.0605073,489.93314,415.05011,579.54773,421.58792,906.08295,0.389,,,,,,,411.44739,454.28995,,,,9.0299997
1991/1/1,-0.1,0.51814002,,0.55918509,-0.12553349,-0.1,0,-0.12553349,0,6.6399999,8.0900002,8.7366571,,-0.375,4.6354165,490.30502,414.61697,578.59619,422.15283,906.00543,0.42539999,,,,,,449.98096,411.83865,449.43213,,,,8.9700003
1991/2/1,-0.20999999,-0.40345001,,-0.56341875,-0.083103977,0,-0.20999999,0,-0.083103977,6.27,7.8499999,8.5373001,,-0.083924487,4.4035277,490.37921,413.92941,589.33252,422.41672,906.26813,0.35339999,,,,,,448.86365,412.27701,458.05853,,,,8.6899996
1991/3/1,-0.059999999,0.53704,,0.53520101,-0.064185388,-0.059999999,0,-0.064185388,0,6.4000001,8.1099997,8.69098,,0.21031746,4.3650298,490.37921,413.39899,592.0036,422.58167,905.68744,0.28009999,,,,,,448.07401,412.2608,464.20209,,,,8.7700005
1991/4/1,-0.19,0.94203001,,1.0543487,-0.21514462,-0.19,0,-0.21514462,0,6.2399998,8.04,8.6951866,,0.38394648,4.2785954,490.60153,413.59711,593.9342,422.76306,907.09814,0.2264,,,,,,447.27811,412.61661,466.43265,,,,8.8699999
1991/5/1,-0.02,-0.23957001,,-0.32591644,0.02293337,0,-0.02,0.02293337,0,6.1300001,8.0699997,8.8629045,,0.53007245,4.2417269,490.97095,414.59183,593.48389,423.11383,906.29645,0.22130001,,,,,,446.93506,413.03549,467.1304,,,,8.6899996
1991/6/1,0,0,,0,0,0,0,0,0,6.3600001,8.2799997,8.9974699,,0.84743083,4.1583171,491.2655,415.48438,593.56952,423.32721,906.74811,0.1208,,,,,,448.97592,413.45264,468.18118,,,,8.8500004
1991/7/1,0.01,-0.02932,,-0.080316089,0.03420873,0.01,0,0.03420873,0,6.3099999,8.2700005,8.9176912,,1.2381423,4.0942688,491.41245,415.57986,594.00031,423.5528,906.96637,0.2402,,,,,,447.16388,414.1705,464.3111,,,,9.1099997
1991/8/1,-0.079999998,0.61637002,,0.62785619,-0.067487083,-0.079999998,0,-0.067487083,0,5.7800002,7.9000001,8.831109,,1.4305556,3.9743056,491.70569,415.65411,596.46362,423.78711,906.89899,0.15880001,,,,,,447.04953,414.37695,464.11206,,,,8.8400002
1991/9/1,0,-0.046470001,,-0.10034957,0.013394409,0,0,0.013394409,0,5.5700002,7.6500001,8.6138306,,1.6842105,3.8877194,491.99808,416.53482,595.99738,424.05713,907.76294,0.17290001,,,,,,447.27811,414.5513,465.2467,,,,8.8400002
1991/10/1,-0.039999999,-0.02066,,-0.11626855,0.012979262,0,-0.039999999,0.012979262,0,5.3299999,7.5300002,8.613862,,1.849,3.7490001,492.14398,416.35471,595.81458,424.18979,907.41467,0.1769,,,,,,447.50616,414.88327,462.93069,,,,9.0500002
1991/11/1,-0.12,0,,-0.046067908,-0.10542035,0,0,0,-0.10542035,4.8899999,7.4200001,8.7818155,,1.9311594,3.539855,492.58032,416.23288,595.4494,424.3342,907.69574,0.2033,,,,,,448.75122,415.40277,462.11935,,,,9.0699997
